epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,635.074,0.72182,0.71698,1.09968,0.73086,0.41825,0.46809,0.37138,0.95371,1.02355,1.36471,0.0005842,0.0005842,0.0005842
86,642.322,0.70355,0.69964,1.07994,0.86989,0.53671,0.61361,0.45859,0.98857,0.85708,1.41033,0.00057925,0.00057925,0.00057925
87,649.626,0.73171,0.69772,1.08636,0.70728,0.58407,0.54792,0.44249,0.99355,0.91896,1.43505,0.0005743,0.0005743,0.0005743
88,656.917,0.73834,0.69738,1.09014,0.62736,0.58606,0.49339,0.39132,1.0373,0.99322,1.43707,0.00056935,0.00056935,0.00056935
89,664.164,0.70309,0.69991,1.07207,0.65126,0.60454,0.52892,0.38632,0.9708,0.96427,1.34894,0.0005644,0.0005644,0.0005644
90,671.44,0.72103,0.66935,1.0878,0.6505,0.58922,0.54768,0.38961,1.03119,0.98213,1.42902,0.00055945,0.00055945,0.00055945
91,678.716,0.71355,0.66707,1.07146,0.67319,0.58025,0.56001,0.4413,0.97268,0.91766,1.40435,0.0005545,0.0005545,0.0005545
92,685.978,0.71027,0.70775,1.07206,0.7733,0.57728,0.58515,0.44035,1.02616,0.82716,1.431,0.00054955,0.00054955,0.00054955
93,693.237,0.70693,0.70527,1.08426,0.73473,0.60604,0.59913,0.45098,0.97504,0.7655,1.38534,0.0005446,0.0005446,0.0005446
94,700.482,0.66569,0.65163,1.07508,0.68287,0.56766,0.57291,0.44828,0.94444,0.84942,1.35111,0.00053965,0.00053965,0.00053965
95,707.754,0.71426,0.67846,1.099,0.69068,0.51284,0.52747,0.40616,1.01035,0.92888,1.37623,0.0005347,0.0005347,0.0005347
96,715.022,0.69749,0.63026,1.05541,0.74059,0.48745,0.51564,0.41585,0.9038,0.88187,1.27511,0.00052975,0.00052975,0.00052975
97,722.298,0.70747,0.6465,1.0944,0.66189,0.60666,0.5296,0.40413,0.89665,0.83385,1.25817,0.0005248,0.0005248,0.0005248
98,729.568,0.65232,0.63081,1.04298,0.72206,0.52582,0.56571,0.46779,0.94772,0.81925,1.32644,0.00051985,0.00051985,0.00051985
99,736.908,0.65684,0.62122,1.03553,0.88553,0.52046,0.60053,0.515,0.9843,0.8515,1.33844,0.0005149,0.0005149,0.0005149
100,744.222,0.69718,0.64874,1.06416,0.87041,0.53709,0.60956,0.50421,0.92182,0.89408,1.29379,0.00050995,0.00050995,0.00050995
101,751.456,0.64378,0.60952,1.04192,0.77628,0.55955,0.52066,0.4215,0.93576,0.89043,1.35252,0.000505,0.000505,0.000505
102,758.742,0.70959,0.62095,1.09199,0.7885,0.57504,0.5215,0.42365,0.9791,0.87268,1.43679,0.00050005,0.00050005,0.00050005
103,766.004,0.71121,0.858,1.11821,0.85091,0.55094,0.58387,0.48031,0.97472,0.89215,1.37357,0.0004951,0.0004951,0.0004951
104,773.258,0.65524,0.60169,1.05645,0.71203,0.5587,0.55818,0.46275,0.95807,0.93577,1.36903,0.00049015,0.00049015,0.00049015
105,780.511,0.63679,0.57596,1.04687,0.68485,0.5511,0.54749,0.44995,0.98809,1.02602,1.37493,0.0004852,0.0004852,0.0004852
106,787.763,0.64799,0.57635,1.02158,0.72451,0.56497,0.56271,0.47155,0.97348,0.90301,1.36105,0.00048025,0.00048025,0.00048025
107,795.023,0.64508,0.63164,1.05422,0.74899,0.58952,0.56104,0.47738,0.9399,0.84799,1.33801,0.0004753,0.0004753,0.0004753
108,802.275,0.67345,0.61929,1.05671,0.65939,0.57852,0.48875,0.41178,0.98203,0.91259,1.37962,0.00047035,0.00047035,0.00047035
109,809.491,0.62958,0.61726,1.036,0.65989,0.56661,0.54766,0.45515,1.01035,0.94695,1.38661,0.0004654,0.0004654,0.0004654
